Country,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessibility to services,Housing,Community,Life satisfaction
Australia,8.2125,8.475,6.075,9.8125,8.975,8.6625,9.7125,5.3125,8.9625,8.175,8.5
Austria,8.577777777777778,7.98888888888889,4.566666666666666,9.877777777777778,7.655555555555556,7.199999999999999,7.033333333333334,5.688888888888889,5.311111111111111,7.033333333333333,8.5
Belgium,7.466666666666666,5.433333333333334,3.9333333333333336,9.6,6.566666666666666,6.766666666666667,9.533333333333333,6.8,6.033333333333334,6.333333333333333,7.3
Canada,9.459999999999999,7.109999999999999,4.32,9.379999999999999,7.24,9.64,7.57,7.99,9.290000000000001,8.34,8.1
Chile,5.753333333333333,4.96,0.7933333333333333,9.126666666666667,8.32,2.7933333333333334,0.36000000000000004,7.513333333333334,2.033333333333333,5.373333333333333,4.6
Colombia,3.2249999999999996,2.408333333333333,0.5708333333333333,3.466666666666667,4.9375,5.545833333333333,4.2250000000000005,1.4833333333333334,0.8333333333333334,3.9333333333333336,3.5
Costa Rica,0.725,2.05,0.875,4.75,9.6,5.275,3.9,4.025,0.525,6.35,6.9
Czech Republic,9.8125,8.9375,2.9125,9.7,3.425,5.35,3.8125,5.45,3.425,7.925,7.3
Denmark,7.7,8.42,3.44,9.780000000000001,7.340000000000001,8.040000000000001,9.120000000000001,8.64,6.0,9.040000000000001,10.0
Estonia,8.64,7.340000000000001,2.12,9.5,4.32,9.52,3.7600000000000002,5.14,4.220000000000001,4.74,4.6
Finland,8.92,7.74,3.7399999999999998,9.74,8.18,9.940000000000001,4.36,6.76,6.3,8.68,10.0
France,7.876923076923077,6.453846153846154,3.876923076923077,9.661538461538463,8.338461538461539,7.861538461538462,8.03076923076923,7.792307692307692,5.361538461538462,8.261538461538462,6.5
Germany,8.56875,8.9,4.40625,9.76875,6.825,7.325,7.1625,6.2625,5.39375,6.7,8.1
Greece,6.638461538461538,2.076923076923077,2.3153846153846156,9.861538461538462,7.269230769230769,5.800000000000001,2.7615384615384615,3.930769230769231,2.1615384615384614,3.5,2.7
Hungary,8.4625,8.325,2.325,9.8125,0.9874999999999999,5.475,5.925,7.9125,3.85,8.0875,3.8
Ireland,8.700000000000001,7.233333333333333,3.6666666666666665,9.9,8.4,8.6,4.3,6.866666666666667,7.333333333333333,7.966666666666668,7.7
Israel,7.340000000000001,7.06,1.8800000000000001,9.64,8.66,2.82,4.6,6.62,1.3599999999999999,7.74,8.5
Italy,4.866666666666667,4.766666666666667,3.4666666666666663,9.90952380952381,8.214285714285714,6.29047619047619,6.566666666666667,5.9523809523809526,2.8714285714285714,6.376190476190477,5.4
Latvia,9.1,6.466666666666666,1.8,9.266666666666666,0.65,6.866666666666667,2.6833333333333336,5.866666666666667,1.7166666666666668,7.116666666666667,4.2
Lithuania,9.544444444444444,6.188888888888889,2.566666666666667,9.322222222222223,0.5111111111111111,8.100000000000001,0.3333333333333333,5.644444444444444,4.355555555555556,5.300000000000001,5.4
Luxembourg,7.3,7.25,6.15,9.95,8.1,8.1,10.0,8.3,6.1,6.9,8.5
Mexico,1.25,6.31875,0.10625,4.16875,2.471875,5.31875,2.0875,3.7125,0.840625,2.8,5.0
Netherlands,7.566666666666666,9.366666666666667,3.6999999999999997,9.791666666666666,7.2,7.241666666666667,8.558333333333334,8.266666666666667,6.933333333333334,8.133333333333333,9.2
New Zealand,7.283333333333334,8.924999999999999,3.225,9.799999999999999,7.066666666666666,9.258333333333333,8.166666666666666,5.866666666666667,7.683333333333334,8.941666666666666,8.8
Norway,7.866666666666667,8.85,4.166666666666667,9.933333333333334,8.566666666666666,9.666666666666666,7.416666666666667,8.416666666666666,7.800000000000001,8.916666666666666,9.2
Poland,9.647058823529411,8.1,2.7058823529411766,9.635294117647058,1.811764705882353,3.9705882352941178,3.664705882352941,7.323529411764706,1.5,5.564705882352941,4.2
Portugal,3.557142857142857,6.8,2.9857142857142853,9.799999999999999,6.028571428571428,8.77142857142857,1.7142857142857142,6.814285714285715,4.3999999999999995,5.942857142857143,3.5
Slovakia,9.75,7.35,3.0,9.7,1.8,4.925,5.175,6.375,1.45,7.675,7.7
Slovenia,9.45,7.95,3.1,9.9,6.3,5.35,2.05,6.35,4.0,8.7,5.8
South Korea,9.62857142857143,7.542857142857143,3.4,9.714285714285714,9.414285714285715,0.4142857142857143,4.771428571428571,8.942857142857143,4.242857142857143,2.0,2.5
Spain,4.947058823529411,4.023529411764706,3.364705882352941,9.864705882352942,8.570588235294117,8.052941176470588,5.658823529411765,8.758823529411766,6.305882352941176,7.870588235294118,5.4
Sweden,8.825,7.3625,3.75,9.725,8.8,9.725,9.8125,7.7125,5.1875,7.7625,9.2
Switzerland,8.742857142857144,8.714285714285714,9.942857142857141,9.885714285714286,9.228571428571428,7.771428571428571,0.5571428571428572,9.342857142857143,5.214285714285714,8.442857142857143,9.6
Turkey,0.8038461538461538,2.746153846153846,0.5076923076923077,8.007692307692308,5.126923076923077,1.3615384615384616,9.592307692307692,4.2153846153846155,2.2807692307692307,2.5807692307692305,2.0
United Kingdom,7.666666666666667,8.458333333333334,4.091666666666667,9.758333333333333,6.633333333333333,7.758333333333333,5.158333333333333,6.8500000000000005,6.441666666666666,7.316666666666666,7.7
United States,9.405882352941177,7.952941176470588,8.429411764705883,8.268627450980391,3.9843137254901957,8.950980392156863,5.431372549019608,7.913725490196079,8.941176470588236,7.549019607843137,7.7
