Country,Housing,Income ,Jobs,Community,Education,Environment,Civic Engagement,Health,Life satisfaction,Safety,Work-life Balance
Australia,8.36,6.82,8.42,8.29,8.13,8.38,10,9.3,6.48,8.03,5.59
Austria,6.95,5.74,8.21,5.18,8.33,7.73,6.76,7.86,8.74,8.7,8.56
Belgium,7.81,5.44,7.95,7.25,7.53,5.85,9.3,8.13,7.33,8.08,8.63
Canada,8.07,5.62,8.27,7.85,9.52,8.51,4.11,9.26,8.45,8.44,8.97
Chile,5.6,2.12,5.46,6.01,5.79,0.41,2.79,5.74,3.66,5,7.97
Colombia,4.17,0.87,5.09,5.59,3.37,5.58,2.84,7.31,9.48,2.01,1.14
Costa Rica,5.96,1.46,4.98,6.63,0,6.25,3.79,7.39,3.95,4.57,2.2
Czech Republic,5.7,3.76,7.55,7.86,9.89,6.53,4.73,5.98,6.76,8.74,9.35
Denmark,6.62,4.98,8.9,9.6,7.64,8.32,8.55,7.64,6.76,9.55,9.02
Estonia,7.16,3.24,7.36,7.46,8.99,8.02,4.39,5.42,6.48,8.42,9.49
Finland,6.89,5.09,7.99,9.7,8.88,9.86,5.39,7.67,8.45,9.51,9.09
France,7,5.34,7.6,7.31,7.66,6.12,6.38,7.68,5.35,8.57,7.95
Germany,7.2,6.07,8.61,7.33,8.13,7.74,6.96,6.87,6.48,8.87,8.83
Greece,5.64,2.6,4.49,5.61,7.22,3.42,3.22,7.99,5.35,7.69,8.7
Hungary,6.46,2.99,7.11,8.09,8.41,5.44,5.57,5.14,4.51,8.51,9.66
Iceland,6.65,6.55,9.61,10,6.52,9.72,7.65,8.55,8.51,9.41,6.11
Ireland,7.72,4.83,7.92,4.63,8.63,6.76,4.21,9.02,6.76,8.18,8.6
Israel,5.4,4.26,7.51,6.98,7.18,3.81,5.14,8.33,8.82,8.52,5.02
Italy,5.68,4.14,5.81,6.14,4.08,4.83,6.23,8.15,6.48,8.04,8.65
Japan,6.4,4.92,8.02,6.44,10,6.58,2.86,5.44,2.37,8.83,4.41
Latvia,4.65,2.77,6.85,8.67,9.49,6.15,2.58,3.8,5.07,8.35,9.96
Lithuania,6.04,3.88,7.58,5.02,9.98,6.89,3.14,3.6,5.92,7.33,10
Luxembourg,7.48,8.32,9.1,7.09,7.31,7.31,9.56,8.18,7.04,9.51,7.73
Mexico,3.54,1.39,5.47,4.79,0.22,4.39,4.34,5.62,10,1.29,0.02
Netherlands,7.96,5.57,9.03,7.89,7.36,7.62,7.38,8.26,7.61,9.17,9.35
New Zealand,7.88,4.22,8.45,9,7.42,7.84,8.08,9.32,7.89,7.1,5.07
Norway,8.86,6.23,8.8,7.72,7.71,9.76,7.07,8.37,8.68,9.93,8.96
Poland,5.38,3.37,7.18,4.74,9.67,4.67,5.29,5.38,7.33,8.1,9
Portugal,7,3.2,6.88,4.82,3.5,7.96,3.25,5.85,5.92,8.92,7.47
Slovak Republic,4.01,3.09,6.34,8.81,9.69,5.13,4.81,5.48,6.2,8.56,9.2
Slovenia,7.17,3.73,7.7,8.29,9.32,7.06,5.66,7.16,7.33,9.77,8.75
South Korea,7.77,3.78,7.35,2.85,9.74,2.78,7.06,4.7,3.38,9.15,2.91
Spain,7.23,3.77,6.09,7.77,4.3,5.8,6,8.26,6.48,9.05,9.24
Sweden,7.19,5.32,8.35,8.67,8.63,9.69,9.06,8.54,7.33,9.11,8.18
Switzerland,6.88,6.94,9.34,8.14,8.61,8.72,0.7,9.33,8.63,9.74,8.36
Turkey,5.23,2.36,4.66,0,0.05,0.79,8.88,6.79,0,6.77,0
United Kingdom,6.64,4.85,8.14,4.83,7.55,6.63,5.16,7.54,7.44,8.02,6.34
United States,8.91,10,8.92,6.67,9.23,7.94,5.8,8.01,5.92,7.22,6.43
Brazil,4.91,0.83,4.16,2.9,3.04,4.81,7.6,6.21,3.38,3.19,8.05
South Africa,2.54,0,0,7.55,1.39,2.06,4.86,3.17,0,2.83,4.91
