Country,GDP per capita (EURO),Dwellings without basic facilities,Housing expenditure,Rooms per person,Household net adjusted disposable income,Household net wealth,Labour market insecurity,Employment rate,Long-term unemployment rate,Personal earnings,Quality of support network,Educational attainment,Student skills,Years in education,Air pollution,Water quality,Stakeholder engagement for developing regulations,Voter turnout,Life expectancy,Self-reported health,Feeling safe walking alone at night,Homicide rate,Employees working very long hours,Life satisfaction,University Score,Top University
Australia,4.420717268695914,0.5788027493042321,4.563106796116504,4.666666666666666,6.068008486725156,5.254906693652265,0.8374384236453203,7.727272727272727,0.9259259259259258,7.331552612768519,8.421052631578947,8.076923076923077,7.545454545454545,10.0,0.5504587155963303,8.064516129032258,7.500000000000001,10.0,8.494623655913975,9.272727272727273,4.901960784313725,0.2631578947368421,4.569288389513108,6.190476190476188,8.59848484848485,The University of Melbourne
Austria,3.7866276316355965,0.30888030888030893,5.92233009708738,3.333333333333333,5.94414817363381,2.733538678323997,0.44334975369458124,7.272727272727273,1.2037037037037037,6.941424325646138,7.894736842105264,8.461538461538462,6.8181818181818175,4.0,3.0733944954128436,8.064516129032258,0.5000000000000004,6.279069767441861,7.419354838709674,6.7272727272727275,8.627450980392158,0.11278195488721804,1.8726591760299627,6.666666666666666,4.179292929292928,University of Vienna
Belgium,3.468980066302149,0.2702702702702703,5.145631067961165,6.666666666666666,5.337175296748667,4.321050920201419,0.4926108374384236,4.090909090909091,2.1296296296296293,7.166208946239795,6.842105263157895,7.3076923076923075,7.636363636363637,8.0,3.3486238532110097,3.870967741935484,4.0,9.069767441860465,7.526881720430099,7.272727272727273,2.7450980392156863,0.33834586466165417,1.4981273408239701,4.761904761904761,6.25,KU Leuven
Canada,3.4112885865587463,0.07722007722007723,7.961165048543688,10.0,5.204426859338264,4.673520750638695,1.1822660098522166,6.363636363636363,0.4629629629629629,7.3571347955306425,8.421052631578947,9.615384615384615,9.181818181818182,4.0,0.7339449541284402,7.419354838709678,8.5,4.4186046511627906,7.526881720430099,10.0,7.058823529411765,0.37593984962406013,1.1235955056179776,5.7142857142857135,7.992424242424242,University of Toronto
Denmark,4.6195376070951895,0.19305019305019305,8.349514563106798,5.333333333333332,5.018923103388956,0.8951564689923954,1.5270935960591134,8.181818181818182,0.8333333333333333,7.938000827658854,9.473684210526315,7.6923076923076925,7.727272727272727,8.0,2.0642201834862384,8.387096774193548,4.0,8.372093023255815,6.881720430107524,6.545454545454545,8.431372549019608,0.11278195488721804,0.2996254681647941,8.095238095238095,4.898989898989898,University of Copenhagen
Estonia,1.4298876307745294,2.2007722007722013,2.233009708737865,3.999999999999999,2.154653363151557,1.3411718131389088,1.9704433497536944,8.181818181818182,1.1111111111111112,2.7256310898762277,9.473684210526315,9.423076923076923,10.0,6.0,0.18348623853211024,6.129032258064516,7.500000000000001,3.488372093023256,3.978494623655912,4.181818181818182,7.254901960784314,0.6390977443609023,0.7116104868913858,3.333333333333333,1.4141414141414141,University of Tartu
Finland,3.4337624316528172,0.15444015444015446,8.155339805825244,5.333333333333332,4.932048856012386,1.8175865726876124,0.39408866995073905,7.272727272727273,1.1111111111111112,5.643128550468379,10.0,9.423076923076923,9.09090909090909,10.0,0.0,9.67741935483871,5.000000000000001,4.651162790697675,7.526881720430099,6.181818181818182,9.019607843137255,0.37593984962406013,1.2359550561797754,10.0,4.684343434343433,Aalto University
France,2.76488569337409,0.19305019305019305,5.825242718446601,4.666666666666666,5.191238029703538,2.606993345018439,0.8374384236453203,4.090909090909091,2.685185185185185,5.521048869493247,8.947368421052632,7.5,7.090909090909091,4.0,2.706422018348624,3.548387096774194,4.500000000000001,6.046511627906977,8.38709677419355,6.0,6.2745098039215685,0.07518796992481203,2.7715355805243447,4.2857142857142865,8.068181818181818,Université PSL
Germany,3.3617772420028413,0.038610038610038616,5.145631067961165,4.666666666666666,6.508974138425368,2.672325623842676,0.0,9.545454545454547,1.1111111111111112,7.056732252360709,6.842105263157895,8.461538461538462,7.636363636363637,6.0,2.9816513761467887,7.741935483870968,3.0000000000000004,6.279069767441861,6.7741935483871005,5.818181818181818,6.666666666666666,0.07518796992481203,1.348314606741573,7.142857142857141,7.87878787878788,Technical University of Munich
Greece,0.7505919834675161,0.15444015444015446,6.893203883495147,0.6666666666666659,1.296519295831183,0.8774253943766595,10.0,0.0,10.0,2.06482073661638,0.5263157894736842,6.538461538461538,3.3636363636363638,8.0,4.128440366972477,0.0,3.0000000000000004,2.0930232558139537,7.096774193548388,8.181818181818182,5.294117647058823,0.3007518796992481,1.5730337078651688,0.0,1.691919191919192,National Technical University of Athens
